City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hermanus,ZA,2022-09-22 17:02:14,-34.4187,19.2345,54.81,71,84,20.8
68,Ushuaia,AR,2022-09-22 17:02:14,-54.8,-68.3,46.87,59,25,7.54
69,Barrow,US,2022-09-22 17:02:15,71.2906,-156.7887,32.02,93,100,10.36
70,Thinadhoo,MV,2022-09-22 17:02:15,0.5333,72.9333,83.12,71,8,12.57
71,Cherskiy,RU,2022-09-22 17:02:15,68.75,161.3,33.31,79,8,9.01
72,Beringovskiy,RU,2022-09-22 17:02:16,63.05,179.3167,41.54,83,100,2.66
73,Plouzane,FR,2022-09-22 17:02:17,48.3833,-4.6167,66.52,68,0,9.22
74,Bredasdorp,ZA,2022-09-22 17:02:17,-34.5322,20.0403,55.47,70,93,18.63
75,Camargo,MX,2022-09-22 17:02:18,27.6667,-105.1667,80.13,42,0,5.46
76,Saint-Philippe,RE,2022-09-22 17:02:19,-21.3585,55.7679,71.19,86,23,15.05
77,East London,ZA,2022-09-22 17:01:56,-33.0153,27.9116,70.97,66,21,12.21
78,Raton,US,2022-09-22 17:02:20,36.9034,-104.4391,69.06,62,20,9.22
79,Bengkulu,ID,2022-09-22 17:02:20,-3.8004,102.2655,74.95,89,93,3.47
80,Nouadhibou,MR,2022-09-22 17:02:20,20.931,-17.0347,72.66,97,100,6.82
81,Padang,ID,2022-09-22 17:02:21,-0.9492,100.3543,76.41,78,64,4.52
82,Makubetsu,JP,2022-09-22 17:02:21,45.3714,141.8211,56.21,80,94,6.06
83,La Paz,BO,2022-09-22 16:58:01,-16.5,-68.15,62.58,21,75,5.75
84,Ayan,RU,2022-09-22 17:02:22,56.45,138.1667,46.02,67,100,4.29
85,Hobart,AU,2022-09-22 17:00:19,-42.8794,147.3294,55.26,92,100,0.0
86,Vila Franca Do Campo,PT,2022-09-22 17:02:23,37.7167,-25.4333,77.41,71,52,4.79
87,Ponta Do Sol,PT,2022-09-22 17:02:23,32.6667,-17.1,78.01,91,28,1.74
88,San Patricio,US,2022-09-22 17:02:24,28.017,-97.5169,88.92,51,0,6.17
89,San Policarpo,PH,2022-09-22 17:02:24,12.1791,125.5072,78.06,87,100,5.23
90,Coatesville,US,2022-09-22 16:57:58,39.9832,-75.8238,71.82,92,100,12.66
