City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
59,Aksarka,RU,2022-09-25 03:14:45,66.5606,67.7975,30.81,79,53,10.89,broken clouds
60,Havoysund,NO,2022-09-25 03:14:45,70.9963,24.6622,48.43,87,100,7.85,overcast clouds
61,Rio Claro,BR,2022-09-25 03:14:46,-22.4114,-47.5614,58.06,68,28,5.68,scattered clouds
62,East London,ZA,2022-09-25 03:14:46,-33.0153,27.9116,67.28,92,79,12.19,broken clouds
63,Saint-Pierre,RE,2022-09-25 03:14:46,-21.3393,55.4781,69.48,64,0,9.22,clear sky
64,Upernavik,GL,2022-09-25 03:14:47,72.7868,-56.1549,32.31,65,100,12.91,overcast clouds
65,Sao Gabriel Da Cachoeira,BR,2022-09-25 03:14:47,-0.1303,-67.0892,73.72,87,98,1.88,overcast clouds
66,Coahuayana,MX,2022-09-25 03:14:48,18.7333,-103.6833,77.92,91,33,1.86,scattered clouds
67,Cuencame,MX,2022-09-25 03:14:48,24.8711,-103.6964,71.29,40,13,6.93,few clouds
68,Gisborne,NZ,2022-09-25 03:13:10,-38.6533,178.0042,56.39,83,82,13.91,broken clouds
69,Vincennes,FR,2022-09-25 03:14:49,48.85,2.4333,56.86,87,75,9.22,broken clouds
70,Qaanaaq,GL,2022-09-25 03:14:49,77.484,-69.3632,21.15,82,100,9.53,overcast clouds
71,Hermanus,ZA,2022-09-25 03:14:50,-34.4187,19.2345,56.8,87,100,5.08,overcast clouds
72,Biak,ID,2022-09-25 03:14:50,-0.9131,122.8766,83.32,63,97,10.38,overcast clouds
73,New Norfolk,AU,2022-09-25 03:14:50,-42.7826,147.0587,60.93,43,86,4.23,overcast clouds
74,Chuy,UY,2022-09-25 03:14:51,-33.6971,-53.4616,50.02,79,86,5.97,overcast clouds
75,San Lorenzo,PY,2022-09-25 03:14:51,-25.3333,-57.5333,65.34,59,75,2.3,broken clouds
76,Port Alfred,ZA,2022-09-25 03:11:02,-33.5906,26.891,65.17,91,100,1.01,overcast clouds
77,Sobolevo,RU,2022-09-25 03:14:52,54.4299,31.8996,43.23,89,100,16.17,light rain
78,Portel,BR,2022-09-25 03:14:52,-1.9356,-50.8211,77.2,72,2,5.32,clear sky
79,Ushuaia,AR,2022-09-25 03:14:53,-54.8,-68.3,31.51,94,99,5.46,overcast clouds
80,Longyearbyen,SJ,2022-09-25 03:14:53,78.2186,15.6401,40.84,81,100,10.36,overcast clouds
81,Saskylakh,RU,2022-09-25 03:14:53,71.9167,114.0833,30.69,88,100,10.65,overcast clouds
82,Atambua,ID,2022-09-25 03:14:54,-9.1061,124.8925,87.51,47,64,2.89,broken clouds
83,Albany,US,2022-09-25 03:11:02,42.6001,-73.9662,53.46,83,18,3.87,few clouds
84,Centralia,US,2022-09-25 03:14:54,46.7162,-122.9543,66.65,65,75,0.0,broken clouds
85,Bengkulu,ID,2022-09-25 03:14:55,-3.8004,102.2655,80.31,75,55,5.08,broken clouds
86,Ambilobe,MG,2022-09-25 03:14:55,-13.2,49.05,69.1,67,0,5.59,clear sky
87,Faya,SA,2022-09-25 03:14:56,18.3851,42.4509,61.32,27,15,6.55,few clouds
88,Ngawen,ID,2022-09-25 03:14:56,-7.0032,111.3129,86.43,58,100,7.99,overcast clouds
89,Mayor Pablo Lagerenza,PY,2022-09-25 03:14:56,-19.9309,-60.7718,78.21,46,100,3.49,overcast clouds
90,Gladstone,AU,2022-09-25 03:14:57,-23.85,151.25,84.78,41,0,11.5,clear sky
91,Cockburn Town,TC,2022-09-25 03:14:57,21.4612,-71.1419,82.51,80,64,14.76,broken clouds
92,Riohacha,CO,2022-09-25 03:15:58,11.5444,-72.9072,76.32,87,100,7.38,overcast clouds
93,Ca Mau,VN,2022-09-25 03:15:58,9.1769,105.15,88.18,62,95,8.12,overcast clouds
94,Mar Del Plata,AR,2022-09-25 03:15:58,-38.0023,-57.5575,60.1,68,0,5.75,moderate rain
95,Nyagan,RU,2022-09-25 03:15:59,62.1406,65.3936,34.03,76,71,7.67,broken clouds
96,Lavrentiya,RU,2022-09-25 03:15:59,65.5833,-171.0,39.34,69,100,17.45,overcast clouds
97,Puerto Ayora,EC,2022-09-25 03:14:29,-0.7393,-90.3518,66.54,94,96,7.0,overcast clouds
98,Vanimo,PG,2022-09-25 03:16:00,-2.6741,141.3028,85.48,64,95,9.08,overcast clouds
99,Bluff,NZ,2022-09-25 03:16:00,-46.6,168.3333,55.72,73,100,9.82,light rain
100,Te Anau,NZ,2022-09-25 03:16:01,-45.4167,167.7167,62.73,57,100,3.49,light rain
101,North Vanlaiphai,IN,2022-09-25 03:16:01,23.1333,93.0667,68.61,83,100,0.92,overcast clouds
102,Nemuro,JP,2022-09-25 03:16:02,43.3236,145.575,63.41,78,3,0.49,clear sky
103,Port Elizabeth,ZA,2022-09-25 03:16:03,-33.918,25.5701,63.32,99,100,3.0,overcast clouds
104,Narsaq,GL,2022-09-25 03:16:03,60.9167,-46.05,44.82,76,100,5.99,overcast clouds
105,Henties Bay,NA,2022-09-25 03:16:03,-22.116,14.2845,53.11,91,29,3.89,scattered clouds
106,Hattiesburg,US,2022-09-25 03:11:35,31.3271,-89.2903,71.53,90,0,0.0,mist
107,Lebu,CL,2022-09-25 03:16:04,-37.6167,-73.65,47.17,87,1,10.31,clear sky
108,Mount Gambier,AU,2022-09-25 03:16:04,-37.8333,140.7667,62.56,47,98,6.82,light rain
109,Bonthe,SL,2022-09-25 03:16:05,7.5264,-12.505,74.17,93,100,6.2,light rain
110,Khani,GE,2022-09-25 03:16:06,41.9563,42.9566,45.97,89,76,3.76,broken clouds
111,Honiara,SB,2022-09-25 03:16:06,-9.4333,159.95,83.35,76,94,3.51,overcast clouds
112,Cabo San Lucas,MX,2022-09-25 03:15:15,22.8909,-109.9124,84.18,79,100,7.0,overcast clouds
113,Clyde River,CA,2022-09-25 03:16:06,70.4692,-68.5914,34.03,86,100,18.41,light snow
114,Geraldton,AU,2022-09-25 03:16:07,-28.7667,114.6,66.61,45,40,17.27,scattered clouds
115,Ponta Do Sol,PT,2022-09-25 03:13:51,32.6667,-17.1,72.23,82,100,5.95,overcast clouds
116,Tokur,RU,2022-09-25 03:16:08,53.1333,132.9,52.68,61,98,3.74,overcast clouds
117,Lodja,CD,2022-09-25 03:16:08,-3.4833,23.4333,67.05,99,100,1.14,overcast clouds
118,Gatehouse Of Fleet,GB,2022-09-25 03:16:08,54.882,-4.1843,48.24,82,82,5.84,broken clouds
119,Nha Trang,VN,2022-09-25 03:16:09,12.25,109.1833,82.4,82,100,3.6,overcast clouds
120,Meulaboh,ID,2022-09-25 03:16:09,4.1363,96.1285,78.22,79,100,2.15,overcast clouds
121,Ilulissat,GL,2022-09-25 03:16:10,69.2167,-51.1,33.82,86,75,6.91,broken clouds
122,Les Cayes,HT,2022-09-25 03:16:10,18.2,-73.75,80.17,84,100,3.0,overcast clouds
123,Izhma,RU,2022-09-25 03:16:11,65.0083,53.9113,30.33,85,6,5.86,clear sky
124,Belmonte,BR,2022-09-25 03:16:12,-15.8631,-38.8828,71.89,94,100,13.94,overcast clouds
125,Cherskiy,RU,2022-09-25 03:16:12,68.75,161.3,33.08,63,100,7.29,overcast clouds
126,Blois,FR,2022-09-25 03:16:13,47.5833,1.3333,55.78,93,80,7.11,broken clouds
127,Udachnyy,RU,2022-09-25 03:16:14,66.4167,112.4,26.46,92,100,15.41,overcast clouds
